,folio,line,type,word,pre_text,after_text,position
480,025r,N015,#snorm,mach-s-,mach,,final
481,025r,N016,#snorm,al-s-,al,,final
482,025r,N018,#snorm,e-s-,e,,final
483,025v,N007,#snorm,-S-teren,,teren,initial
484,025v,N008,#snorm,da-s-,da,,final
485,025v,N009,#snorm,-S-o,,o,initial
486,025v,N009,#snorm,da-s-,da,,final
487,025v,N011,#snorm,da-s-,da,,final
488,025v,N012,#snorm,e-s-,e,,final
489,025v,N013,#snorm,leg-s-,leg,,final
490,025v,N014,#snorm,da-s-,da,,final
491,025v,N014,#snorm,da-s-,da,,final
492,025v,N015,#snorm,da-s-,da,,final
493,025v,N016,#snorm,da-s-,da,,final
494,025v,N016,#snorm,da-s-,da,,final
495,025v,N017,#snorm,da-s-,da,,final
496,025v,N021,#snorm,-S-oll,,oll,initial
497,025v,N021,#snorm,rocken-s-,rocken,,final
498,025v,N022,#snorm,e-s-,e,,final
499,025v,N022,#snorm,da-s-,da,,final
500,025v,N022,#snorm,al-s-,al,,final
501,025v,N022,#snorm,e-s-,e,,final
502,025v,N023,#snorm,al-s-,al,,final
503,026r,N001,#snorm,da-s-,da,,final
504,026r,N002,#snorm,da-s-,da,,final
505,026r,N004,#snorm,e-s-,e,,final
506,026r,N006,#snorm,-S-o,,o,initial
507,026r,N006,#snorm,-S-neydt,,neydt,initial
508,026r,N007,#snorm,ma=ger-s-,ma=ger,,final
509,026r,N007,#snorm,da-s-,da,,final
510,026r,N008,#snorm,-S-way,,way,initial
511,026r,N010,#snorm,e-s-,e,,final
512,026r,N011,#snorm,e-s-,e,,final
513,026r,N012,#snorm,wa|s|-s-er,wa|s|,er,medial
514,026r,N015,#snorm,e-s-,e,,final
515,026r,N016,#snorm,e-s-,e,,final
516,026r,N018,#snorm,de-s-,de,,final
517,026r,N020,#snorm,da-s-,da,,final
518,026r,N023,#snorm,-S-o,,o,initial
519,026v,N001,#snorm,|s|elb-s-,|s|elb,,final
520,026v,N004,#snorm,e-s-,e,,final
521,026v,N004,#snorm,e-s-,e,,final
522,026v,N006,#snorm,da-s-,da,,final
523,026v,N007,#snorm,e-s-,e,,final
524,026v,N008,#snorm,e-s-,e,,final
525,026v,N010,#snorm,e-s-,e,,final
526,026v,N014,#snorm,ain-s-,ain,,final
527,026v,N020,#snorm,-S-o,,o,initial
528,026v,N022,#snorm,da-s-,da,,final
529,027r,N004,#snorm,viertail-s-,viertail,,final
530,027r,N005,#snorm,-S-y,,y,initial
531,027r,N009,#snorm,welich-s-,welich,,final
532,027r,N014,#snorm,etwa-s-,etwa,,final
533,027r,N020,#snorm,-S-ilpratt,,ilpratt,initial
534,027r,N020,#snorm,da-s-,da,,final
535,027v,N001,#snorm,-S-o,,o,initial
536,027v,N005,#snorm,halb-s-,halb,,final
537,027v,N005,#snorm,wa|s|-s-er,wa|s|,er,medial
538,027v,N005,#snorm,halb-s-,halb,,final
539,027v,N006,#snorm,da-s-,da,,final
540,027v,N006,#snorm,ein-s-,ein,,final
541,027v,N008,#snorm,e-s-,e,,final
542,027v,N013,#snorm,thue-s-,thue,,final
543,027v,N015,#snorm,e-s-,e,,final
544,027v,N016,#snorm,e-s-,e,,final
545,027v,N017,#snorm,al-s-,al,,final
546,027v,N019,#snorm,e-s-,e,,final
