folio,line,type,word,pre_text,after_text
202v,N014,#snorm,al-s-,al,
202v,N019,#snorm,al-s-,al,
202v,N021,#snorm,honig-s-,honig,
202v,N021,#snorm,e-s-,e,
202v,N022,#snorm,e-s-,e,
202v,N023,#snorm,e-s-,e,
202v,N024,#snorm,e-s-,e,
203r,N003,#snorm,e-s-,e,
203r,N004,#snorm,e-s-,e,
203r,N005,#snorm,muo-s-,muo,
203r,N007,#snorm,da-s-,da,
203r,N008,#snorm,e-s-,e,
203r,N009,#snorm,arbei-s-,arbei,
203r,N011,#snorm,al-s-,al,
203r,N011,#snorm,honig-s-,honig,
203r,N018,#snorm,muo-s-,muo,
203r,N021,#snorm,da-s-,da,
203r,N022,#snorm,e-s-,e,
203r,N022,#snorm,e-s-,e,
203r,N024,#snorm,muo-s-,muo,
203v,N003,#snorm,bi-s-,bi,
203v,N003,#snorm,e-s-,e,
203v,N003,#snorm,e-s-,e,
203v,N005,#snorm,e-s-,e,
203v,N009,#snorm,e-s-,e,
203v,N010,#snorm,e-s-,e,
203v,N011,#snorm,e-s-,e,
203v,N017,#snorm,muo-s-,muo,
203v,N021,#snorm,e-s-,e,
203v,N023,#snorm,mandelmuo-s-,mandelmuo,
203v,N025,#snorm,da-s-,da,
203v,N025,#snorm,da-s-,da,
204r,N001,#snorm,da-s-,da,
204r,N003,#snorm,da-s-,da,
204r,N003,#snorm,e-s-,e,
204r,N010,#snorm,da-s-,da,
204r,N011,#snorm,ke-s-,ke,
204r,N014,#snorm,e-s-,e,
204r,N014,#snorm,da-s-,da,
204r,N014,#snorm,ke-s-,ke,
204r,N016,#snorm,da-s-,da,
204r,N019,#snorm,e-s-,e,
204r,N021,#snorm,geu-s-,geu,
204r,N023,#snorm,e-s-,e,
204v,N003,#snorm,e-s-,e,
204v,N004,#snorm,da-s-,da,
204v,N005,#snorm,de-s-,de,
204v,N005,#snorm,mandel-s-,mandel,
204v,N010,#snorm,da-s-,da,
204v,N011,#snorm,bi-s-,bi,
204v,N011,#snorm,da-s-,da,
204v,N013,#snorm,muo-s-,muo,
204v,N015,#snorm,da-s-,da,
204v,N016,#snorm,da-s-,da,
204v,N017,#snorm,da-s-,da,
204v,N017,#snorm,muo-s-,muo,
204v,N017,#snorm,e-s-,e,
204v,N018,#snorm,muo-s-,muo,
204v,N018,#snorm,Rei-s-,Rei,
204v,N020,#snorm,da-s-,da,
204v,N021,#snorm,da-s-,da,
204v,N022,#snorm,da-s-,da,
204v,N023,#snorm,muo-s-,muo,
205r,N003,#snorm,zuker-s-,zuker,
205r,N004,#snorm,da-s-,da,
205r,N005,#snorm,muo-s-,muo,
205r,N007,#snorm,e-s-,e,
205r,N008,#snorm,da-s-,da,
205r,N009,#snorm,muo-s-,muo,
205r,N011,#snorm,au-s-,au,
205r,N012,#snorm,la-s-,la,
205r,N014,#snorm,e-s-,e,
205r,N014,#snorm,e-s-,e,
205r,N015,#snorm,muo-s-,muo,
205r,N018,#snorm,brot-s-,brot,
205r,N022,#snorm,muo-s-,muo,
205v,N004,#snorm,da-s-,da,
205v,N004,#snorm,e-s-,e,
205v,N005,#snorm,muo-s-,muo,
205v,N007,#snorm,wein-s-,wein,
205v,N009,#snorm,e-s-,e,
205v,N009,#snorm,au-s-,au,
205v,N015,#snorm,au-s-,au,
205v,N015,#snorm,lau-s-,lau,
205v,N021,#snorm,ke-s-,ke,
205v,N023,#snorm,da-s-,da,
205v,N023,#snorm,e-s-,e,
205v,N023,#snorm,alle-s-,alle,
206r,N001,#snorm,e-s-,e,
206r,N001,#snorm,alle-s-,alle,
206r,N001,#snorm,al-s-,al,
206r,N001,#snorm,ke-s-,ke,
206r,N002,#snorm,e-s-,e,
206r,N002,#snorm,da-s-,da,
206r,N002,#snorm,e-s-,e,
206r,N003,#snorm,e-s-,e,
206r,N003,#snorm,da-s-,da,
206r,N004,#snorm,e-s-,e,
206r,N004,#snorm,la-s-,la,
206r,N005,#snorm,e-s-,e,
206r,N006,#snorm,ke-s-,ke,
206r,N007,#snorm,e-s-,e,
206r,N008,#snorm,ke-s-,ke,
206r,N008,#snorm,da-s-,da,
206r,N010,#snorm,da-s-,da,
206r,N011,#snorm,e-s-,e,
206r,N012,#snorm,gebraten-s-,gebraten,
206r,N017,#snorm,ke-s-,ke,
206r,N018,#snorm,e-s-,e,
206r,N019,#snorm,ke-s-,ke,
206v,N001,#snorm,e-s-,e,
206v,N002,#snorm,e-s-,e,
206v,N002,#snorm,e-s-,e,
206v,N003,#snorm,ke-s-,ke,
206v,N004,#snorm,e-s-,e,
206v,N004,#snorm,e-s-,e,
206v,N005,#snorm,ke-s-,ke,
206v,N006,#snorm,e-s-,e,
206v,N006,#snorm,e-s-,e,
206v,N007,#snorm,e-s-,e,
206v,N008,#snorm,ke-s-,ke,
206v,N009,#snorm,e-s-,e,
206v,N012,#snorm,e-s-,e,
206v,N012,#snorm,e-s-,e,
206v,N013,#snorm,weich|s||s|elmuo-s-,weich|s||s|elmuo,
206v,N021,#snorm,e-s-,e,
207r,N004,#snorm,da-s-,da,
207r,N008,#snorm,da-s-,da,
207r,N009,#snorm,da-s-,da,
207r,N010,#snorm,geu-s-,geu,
207r,N013,#snorm,da-s-,da,
207r,N013,#snorm,e-s-,e,
207r,N014,#snorm,geu-s-,geu,
207r,N014,#snorm,e-s-,e,
207r,N015,#snorm,e-s-,e,
207r,N015,#snorm,e-s-,e,
207r,N016,#snorm,geu-s-,geu,
207r,N016,#snorm,e-s-,e,
207r,N017,#snorm,e-s-,e,
207r,N018,#snorm,e-s-,e,
207r,N018,#snorm,da-s-,da,
207r,N019,#snorm,da-s-,da,
207r,N020,#snorm,da-s-,da,
207r,N020,#snorm,e-s-,e,
207r,N021,#snorm,de-s-,de,
207r,N021,#snorm,honig-s-,honig,
207r,N023,#snorm,da-s-,da,
207r,N024,#snorm,e-s-,e,
207r,N025,#snorm,ke-s-,ke,
207v,N001,#snorm,ke-s-,ke,
207v,N001,#snorm,da-s-,da,
207v,N002,#snorm,-S-o,,o
207v,N002,#snorm,da-s-,da,
207v,N003,#snorm,da-s-,da,
207v,N003,#snorm,da-s-,da,
207v,N004,#snorm,e-s-,e,
207v,N005,#snorm,da-s-,da,
207v,N005,#snorm,da-s-,da,
207v,N006,#snorm,e-s-,e,
207v,N008,#snorm,e-s-,e,
207v,N009,#snorm,da-s-,da,
207v,N018,#snorm,gri-s-,gri,
207v,N018,#snorm,e-s-,e,
207v,N019,#snorm,da-s-,da,
207v,N022,#snorm,da-s-,da,
