,folio,line,type,word,pre_text,after_text,position
297,198r,N010,#snorm,al-s-,al,,final
298,198r,N012,#snorm,da-s-,da,,final
299,198r,N012,#snorm,al-s-,al,,final
300,198r,N012,#snorm,e-s-,e,,final
301,198r,N013,#snorm,-S-toß,,toß,initial
302,198r,N013,#snorm,e-s-,e,,final
303,198r,N014,#snorm,da-s-,da,,final
304,198r,N017,#snorm,e-s-,e,,final
305,198r,N018,#snorm,e-s-,e,,final
306,198r,N018,#snorm,honig-s-,honig,,final
307,198r,N019,#snorm,e-s-,e,,final
308,198r,N019,#snorm,e-s-,e,,final
309,198v,N001,#snorm,anei-s-,anei,,final
310,198v,N001,#snorm,geu-s-,geu,,final
311,198v,N001,#snorm,da-s-,da,,final
312,198v,N002,#snorm,da-s-,da,,final
313,198v,N005,#snorm,hai-s-,hai,,final
314,198v,N008,#snorm,aine-s-,aine,,final
315,198v,N008,#snorm,rinde-s-,rinde,,final
316,198v,N010,#snorm,-S-o,,o,initial
317,198v,N015,#snorm,prot-s-,prot,,final
318,198v,N015,#snorm,da-s-,da,,final
319,198v,N015,#snorm,e-s-,e,,final
320,198v,N016,#snorm,anei-s-,anei,,final
321,198v,N016,#snorm,da-s-,da,,final
322,198v,N017,#snorm,da-s-,da,,final
323,198v,N017,#snorm,bi-s-,bi,,final
324,198v,N018,#snorm,e-s-,e,,final
325,198v,N018,#snorm,e-s-,e,,final
326,198v,N023,#snorm,la-s-,la,,final
327,198v,N024,#snorm,prot-s-,prot,,final
328,198v,N025,#snorm,da-s-,da,,final
329,199r,N001,#snorm,da-s-,da,,final
330,199r,N002,#snorm,la-s-,la,,final
331,199r,N002,#snorm,e-s-,e,,final
332,199r,N003,#snorm,da-s-,da,,final
333,199r,N003,#snorm,e-s-,e,,final
334,199r,N004,#snorm,e-s-,e,,final
335,199r,N005,#snorm,e-s-,e,,final
336,199r,N007,#snorm,-S-eud,,eud,initial
337,199r,N007,#snorm,al-s-,al,,final
338,199r,N007,#snorm,bi-s-,bi,,final
339,199r,N007,#snorm,da-s-,da,,final
340,199r,N008,#snorm,-S-o,,o,initial
341,199r,N009,#snorm,pfeffer-s-,pfeffer,,final
342,199r,N009,#snorm,al-s-,al,,final
343,199r,N009,#snorm,kumel-s-,kumel,,final
344,199r,N010,#snorm,da-s-,da,,final
345,199r,N011,#snorm,da-s-,da,,final
346,199r,N011,#snorm,geu-s-,geu,,final
347,199r,N011,#snorm,da-s-,da,,final
348,199r,N012,#snorm,e-s-,e,,final
349,199r,N012,#snorm,la-s-,la,,final
350,199r,N012,#snorm,e-s-,e,,final
351,199r,N013,#snorm,e-s-,e,,final
352,199r,N014,#snorm,-S-wammenn,,wammenn,initial
353,199r,N015,#snorm,da-s-,da,,final
354,199r,N016,#snorm,wei-s-,wei,,final
355,199r,N017,#snorm,wa|s||s|er-s-,wa|s||s|er,,final
356,199r,N017,#snorm,da-s-,da,,final
357,199r,N017,#snorm,e-s-,e,,final
358,199r,N017,#snorm,da-s-,da,,final
359,199r,N018,#snorm,da-s-,da,,final
360,199r,N018,#snorm,e-s-,e,,final
361,199r,N022,#snorm,da-s-,da,,final
362,199r,N022,#snorm,la-s-,la,,final
363,199r,N023,#snorm,au-s-,au,,final
364,199v,N001,#snorm,da-s-,da,,final
365,199v,N006,#snorm,e-s-,e,,final
366,199v,N006,#snorm,e-s-,e,,final
367,199v,N006,#snorm,au-s-,au,,final
368,199v,N011,#snorm,e-s-,e,,final
369,199v,N015,#snorm,da-s-,da,,final
370,199v,N016,#snorm,e-s-,e,,final
371,199v,N016,#snorm,e-s-,e,,final
372,199v,N016,#snorm,|s|al-s-,|s|al,,final
373,199v,N018,#snorm,da-s-,da,,final
374,199v,N019,#snorm,e-s-,e,,final
375,199v,N019,#snorm,au-s-,au,,final
376,199v,N019,#snorm,da-s-,da,,final
377,199v,N020,#snorm,da-s-,da,,final
378,199v,N023,#snorm,lo-s-,lo,,final
379,199v,N023,#snorm,au-s-,au,,final
380,200r,N001,#snorm,da-s-,da,,final
381,200r,N003,#snorm,de-s-,de,,final
382,200r,N003,#snorm,hechte-s-,hechte,,final
383,200r,N004,#snorm,ke-s-,ke,,final
384,200r,N007,#snorm,al-s-,al,,final
385,200r,N011,#snorm,-S-to-s-,,to-s-,initial
386,200r,N011,#snorm,-S-to-s-,-S-to,,final
387,200r,N011,#snorm,alle-s-,alle,,final
388,200r,N011,#snorm,e-s-,e,,final
389,200r,N012,#snorm,alle-s-,alle,,final
390,200r,N012,#snorm,da-s-,da,,final
391,200r,N013,#snorm,wein-s-,wein,,final
392,200r,N014,#snorm,e-s-,e,,final
393,200r,N014,#snorm,da-s-,da,,final
394,200r,N014,#snorm,e-s-,e,,final
395,200r,N015,#snorm,e-s-,e,,final
396,200r,N015,#snorm,geu-s-,geu,,final
397,200r,N016,#snorm,bi-s-,bi,,final
398,200r,N016,#snorm,da-s-,da,,final
399,200r,N016,#snorm,wa-s-,wa,,final
400,200r,N018,#snorm,|s|affran-s-,|s|affran,,final
401,200r,N019,#snorm,e-s-,e,,final
402,200r,N021,#snorm,al-s-,al,,final
403,200r,N021,#snorm,e-s-,e,,final
404,200r,N022,#snorm,e-s-,e,,final
405,200r,N023,#snorm,de-s-,de,,final
406,200r,N023,#snorm,lau-s-,lau,,final
